Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2018 To-Date,
Humanitarian,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments,"7,206","7,465",281,"24,234","7,366","7,272",325,"26,336",,,,,,,,,"14,572","14,737"
,I-485,Refugee Adjustments,"25,937","17,390",347,"54,669","23,445","20,442",328,"57,593",,,,,,,,,"49,382","37,832"
,I-485,Indo Chinese Adjustments , D , -   , -   , D , D , -   , -   ,65,,,,,,,,,11, -   
,I-485,Cuban Adjustment Act,"19,731","18,513",510,"59,092","16,393","20,783",646,"54,605",,,,,,,,,"36,124","39,296"
,I-589,Asylum Application,"32,420","3,231",47,"307,635","28,504","4,257",88,"318,624",,,,,,,,,"60,924","7,488"
,Legalization 6,Legalization/ SAW,13,18,47,241,15,17,44,274,,,,,,,,,28,35
,I-730,Refugee/Asylee Relative Petitions,"3,206","1,700",412,"10,598","3,193","1,003",307,"9,241",,,,,,,,,"6,399","2,703"
,I-817,Family Unity Applications,213,97, D ,"1,172",248,357,17,"1,096",,,,,,,,,461,454
,I-821,Temporary Protected Status,"9,550","10,071",785,"28,898","133,218","39,448",813,"116,500",,,,,,,,,"142,768","49,519"
,I-821D,Deferred Action for Childhood Arrivals,"29,527","98,639","2,549","45,806","64,500","55,076","3,917","51,233",,,,,,,,,"94,027","153,715"
,I-867,Credible Fear Referral,"22,065", N/A , N/A ,"2,457","8,121", N/A , N/A ,"2,113",,,,,,,,,"30,186", N/A 
,I-881,NACARA 203 Applications,131,48,11,553,122,120,15,536,,,,,,,,,253,168
,I-889,Reasonable Fear,"2,573", N/A , N/A ,216,922, N/A , N/A ,267,,,,,,,,,"3,495", N/A 
,I-914,T Nonimmigrant Status Applications,629,316,130,"2,482",870,364,150,"2,858",,,,,,,,,"1,499",680
,I-918,U Nonimmigrant Status Applications,"14,824","4,791",908,"201,279","15,312","7,236","1,061","208,813",,,,,,,,,"30,136","12,027"
,I-929,Petitions for Family of U Nonimmigrants,313,270,58,"1,558",369,477,74,"1,382",,,,,,,,,682,747
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,
,N-300,Declaration of Intent, D , D , D ,90, D ,29, D ,99,,,,,,,,,9,31
,N-336,Requests for Hearing, D ,519,501,859, D ,642,540,779,,,,,,,,,"2,164","1,161"
,N-400,Military Naturalization,"1,069",755,191,"5,749",661,420,76,"5,969",,,,,,,,,"1,730","1,175"
,N-400,Non-Military Naturalization,"178,879","165,675","19,959","723,919","220,334","174,984","22,599","748,847",,,,,,,,,"399,213","340,659"
,N-470,Preserve Residence for Naturalization,27,30,26,45,44,22,18,80,,,,,,,,,71,52
,N-565,Replace Naturalization/Citizenship Certificates,"5,054","3,397",492,"16,471","5,894","10,153",881,"11,932",,,,,,,,,"10,948","13,550"
,N-600/600K,Recognition of Citizenship Applications,"12,011","14,696",928,"42,402","12,133","15,008","1,141","42,918",,,,,,,,,"24,144","29,704"
,N-644,Posthumous Naturalization, -   , -   , -   , D , -   , D , -   , D ,,,,,,,,, -   ,1
,N-648,Disability Exception Applications,708,"1,665",860,"1,325",605,"1,958",987,"1,090",,,,,,,,,"1,313","3,623"
Other,,,,,,,,,,,,,,,,,,,,
,I-90,Renew/Replace Permanent Resident Cards,"166,992","211,343","13,241","564,658","210,536","224,319","15,151","446,339",,,,,,,,,"377,528","435,662"
,I-102,Replace I-94s,"1,385","1,208",349,"2,714","1,395","1,373",539,"2,234",,,,,,,,,"2,780","2,581"
,I-131,Reentry Permit/Refugee Travel Document,"17,519","17,853","1,736","18,551","21,851","19,950","1,981","18,813",,,,,,,,,"39,370","37,803"
,I-131,Advance Parole,"94,785","73,967","13,177","118,790","93,987","66,480","15,390","135,171",,,,,,,,,"188,772","140,447"
,I-193,Passport/Visa Waiver Applications,31,21,13,746,30,36,11,726,,,,,,,,,61,57
,I-360,Immigrant Petitions,"9,622","3,684",941,"43,149","9,670","3,528","1,685","43,597",,,,,,,,,"19,292","7,212"
,I-485,Other Adjustments of Status,"9,355","5,070",975,"34,073","6,946","6,306","1,062","36,369",,,,,,,,,"16,301","11,376"
,I-539,Applications to Extend/ Change Nonimmigrant Status,"52,562","45,359","8,444","87,548","55,036","45,380","10,038","89,709",,,,,,,,,"107,598","90,739"
,I-824,Action on Approved Applications or Petitions,"2,766","1,974",410,"5,821","2,546","2,225",419,"5,712",,,,,,,,,"5,312","4,199"
,Waivers 7,Waivers,"19,601","8,507","2,185","182,709","19,769","11,249","2,874","189,517",,,,,,,,,"39,370","19,756"
,,,,,,,,,,,,,,,,,,,,
"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,
"N  Not captured.  Credible and Reasonable Fear screenings (and their respective forms I-867 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication.  Asylum Officers ",,,,,,,,,,,,,,,,,,,,
          do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,
1  Fiscal year begins October 1 and ends September 30 of the reporting period.,,,,,,,,,,,,,,,,,,,,
2  The number of new forms received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,
3  The number of forms approved during the reporting period.,,,,,,,,,,,,,,,,,,,,
"4   The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,
5   The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,
"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,
"7  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,
NOTE:  1) Some processed forms may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,
               3) Receipt data for I-867 and I-899 for February and March was not available.  The receipt data shown in the above table is for January only.,,,,,,,,,,,,,,,,,,,,
"Source:  All Forms Except I-589 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), USCIS Electronic Immigration System (ELIS) and C3 Consolidated, March 2018",,,,,,,,,,,,,,,,,,,,
"                I-589 and I-881 data was provided by the Directorate of Refugee, Asylum and International Operations",,,,,,,,,,,,,,,,,,,,
