,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q3),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
SRI LANKA, 8 , 2 , 14 , 42 , 89 , 44 , 38 , 13 , 250 ,,,,,,,,,
CHILE, 30 , 10 , 19 , 56 , 58 , 12 , 53 , 7 , 245 ,,,,,,,,,
IRELAND, 21 , 5 , 47 , 38 , 14 , 36 , 79 , 3 , 243 ,,,,,,,,,
JORDAN, 4 , 5 , 14 , 41 , 49 , 93 , 21 , 16 , 243 ,,,,,,,,,
KAZAKHSTAN, 36 , 1 , 11 , 31 , 110 , 9 , 35 , 7 , 240 ,,,,,,,,,
HONG KONG, 18 , 6 , 21 , 65 , 14 , 24 , 62 , 19 , 229 ,,,,,,,,,
DOMINICAN REPUBLIC, 17 , -   , 11 , 22 , 118 , 13 , 13 , 11 , 205 ,,,,,,,,,
MALAYSIA, 7 , -   , 20 , 50 , 25 , 15 , 77 , 5 , 199 ,,,,,,,,,
ECUADOR, 19 , -   , 19 , 19 , 64 , 24 , 14 , 37 , 196 ,,,,,,,,,
EL SALVADOR, 2 , 1 , 9 , 9 , 24 , 33 , 13 , 103 , 194 ,,,,,,,,,
GREECE, 14 , 23 , 10 , 59 , 45 , 9 , 12 , 10 , 182 ,,,,,,,,,
ROMANIA, 11 , 7 , 26 , 43 , 16 , 24 , 31 , 22 , 180 ,,,,,,,,,
SOVIET UNION, 62 , 1 , 9 , 26 , 55 , 11 , 6 , 5 , 175 ,,,,,,,,,
UZBEKISTAN, 26 , 2 , 3 , 16 , 88 , 8 , 11 , 17 , 171 ,,,,,,,,,
NETHERLANDS, 16 , 10 , 53 , 31 , 25 , 18 , 15 , 1 , 169 ,,,,,,,,,
ETHIOPIA, 13 , 5 , 3 , 27 , 64 , 20 , 24 , 2 , 158 ,,,,,,,,,
HONDURAS, 3 , -   , 35 , 11 , 31 , 18 , 23 , 34 , 155 ,,,,,,,,,
GUATEMALA, 8 , -   , 25 , 14 , 15 , 11 , 18 , 56 , 147 ,,,,,,,,,
BELARUS, 26 , 2 , 9 , 31 , 21 , 36 , 15 , 4 , 144 ,,,,,,,,,
NIGER, 10 , 1 , -   , 14 , -   , 89 , 16 , 10 , 140 ,,,,,,,,,
INDONESIA, 2 , 3 , 9 , 35 , 23 , 16 , 34 , 10 , 132 ,,,,,,,,,
SINGAPORE, 4 , 3 , 11 , 42 , 19 , 13 , 40 , -   , 132 ,,,,,,,,,
COSTA RICA, 5 , 1 , 36 , 34 , 12 , 13 , 23 , 6 , 130 ,,,,,,,,,
UNITED ARAB EMIRATES, 4 , 1 , 6 , 40 , 14 , 19 , 33 , 4 , 121 ,,,,,,,,,
HUNGARY, 19 , 3 , 12 , 23 , 17 , 17 , 10 , 17 , 118 ,,,,,,,,,
TRINIDAD AND TOBAGO, 8 , -   , 9 , 21 , 15 , 44 , 13 , 3 , 113 ,,,,,,,,,
UNKNOWN, 11 , 1 , 9 , 19 , 29 , 14 , 11 , 14 , 108 ,,,,,,,,,
BELGIUM, 16 , 3 , 35 , 15 , 10 , 15 , 10 , 1 , 105 ,,,,,,,,,
MOROCCO, 8 , 2 , 6 , 30 , 13 , 5 , 13 , 21 , 98 ,,,,,,,,,
PORTUGAL, 6 , 3 , 20 , 25 , 20 , 14 , 6 , 4 , 98 ,,,,,,,,,
ARMENIA, 35 , 2 , 6 , 18 , 13 , 5 , 13 , 3 , 95 ,,,,,,,,,
MONGOLIA, 4 , -   , -   , 11 , 14 , 9 , 25 , 32 , 95 ,,,,,,,,,
GEORGIA, 36 , 1 , 2 , 7 , 29 , 7 , 2 , 8 , 92 ,,,,,,,,,
NEW ZEALAND, 9 , 1 , 26 , 14 , 6 , 22 , 12 , 2 , 92 ,,,,,,,,,
BULGARIA, 9 , 4 , 5 , 27 , 10 , 5 , 19 , 9 , 88 ,,,,,,,,,
SWEDEN, 9 , 5 , 21 , 19 , 10 , 11 , 13 , -   , 88 ,,,,,,,,,
SWITZERLAND, 14 , 8 , 14 , 24 , 11 , 7 , 5 , 2 , 85 ,,,,,,,,,
SYRIA, 6 , 1 , 4 , 19 , 18 , 14 , 16 , 4 , 82 ,,,,,,,,,
ALBANIA, 4 , 1 , 3 , 6 , 4 , 11 , 19 , 33 , 81 ,,,,,,,,,
"BAHAMAS, THE", 3 , -   , 1 , 8 , 4 , 49 , 10 , -   , 75 ,,,,,,,,,
CAMEROON, 6 , -   , 1 , 8 , 21 , 18 , 7 , 8 , 69 ,,,,,,,,,
SERBIA, 6 , -   , 11 , 8 , 15 , 4 , 8 , 17 , 69 ,,,,,,,,,
AUSTRIA, 9 , 5 , 18 , 12 , 12 , 7 , 4 , 1 , 68 ,,,,,,,,,
KUWAIT, 5 , 2 , 2 , 13 , 16 , 15 , 13 , 1 , 67 ,,,,,,,,,
DENMARK, 12 , 3 , 17 , 9 , 13 , 8 , 2 , -   , 64 ,,,,,,,,,
HAITI, 1 , 1 , 2 , 6 , 12 , 22 , 9 , 11 , 64 ,,,,,,,,,
LIBYA, 1 , 1 , -   , 18 , 29 , 10 , 3 , 2 , 64 ,,,,,,,,,
UGANDA, 2 , 1 , -   , 8 , 18 , 26 , 6 , 1 , 62 ,,,,,,,,,
BOLIVIA, 3 , -   , 4 , 11 , 17 , 3 , 8 , 9 , 55 ,,,,,,,,,
IRAQ, 2 , 1 , 1 , 9 , 33 , 1 , 4 , 1 , 52 ,,,,,,,,,
URUGUAY, 5 , -   , 5 , 7 , 14 , 9 , 8 , 3 , 51 ,,,,,,,,,
NICARAGUA, 1 , -   , 19 , 5 , 7 , 5 , 2 , 11 , 50 ,,,,,,,,,
FINLAND, 9 , 1 , 13 , 11 , 3 , 7 , 2 , -   , 46 ,,,,,,,,,
AZERBAIJAN, 7 , -   , 2 , 13 , 12 , -   , 8 , 3 , 45 ,,,,,,,,,
CZECHIA, 3 , 1 , 6 , 7 , 9 , 7 , 5 , 3 , 41 ,,,,,,,,,
KYRGYZSTAN, 3 , -   , -   , 2 , 24 , 2 , 4 , 6 , 41 ,,,,,,,,,
LITHUANIA, 3 , 2 , 10 , 6 , 4 , 7 , 8 , 1 , 41 ,,,,,,,,,
PANAMA, 3 , 1 , 1 , 8 , 9 , 1 , 9 , 9 , 41 ,,,,,,,,,
TUNISIA, 4 , 1 , 1 , 13 , 11 , 2 , 2 , 6 , 40 ,,,,,,,,,
ZAMBIA, 1 , -   , 4 , 7 , 4 , 16 , 4 , 3 , 39 ,,,,,,,,,
FRENCH POLYNESIA, 9 , 5 , -   , 13 , -   , 7 , 3 , 1 , 38 ,,,,,,,,,
TAJIKISTAN, 4 , -   , -   , 5 , 18 , -   , 5 , 5 , 37 ,,,,,,,,,
ALGERIA, 6 , 1 , 2 , 9 , 5 , 1 , -   , 12 , 36 ,,,,,,,,,
CROATIA, 2 , 2 , 2 , 11 , 7 , 3 , 3 , 3 , 33 ,,,,,,,,,
MOLDOVA, 7 , -   , 2 , 5 , 3 , 8 , 7 , 1 , 33 ,,,,,,,,,
SERBIA AND MONTENEGRO, 4 , 2 , 1 , 7 , -   , 7 , 8 , 4 , 33 ,,,,,,,,,
SLOVAKIA, 6 , 1 , 5 , 4 , 6 , 3 , 5 , 2 , 32 ,,,,,,,,,
TURKMENISTAN, 2 , 1 , -   , 2 , 9 , 3 , 7 , 7 , 31 ,,,,,,,,,
CAMBODIA, -   , 1 , -   , 1 , 1 , -   , 3 , 24 , 30 ,,,,,,,,,
TANZANIA, 2 , -   , 3 , 4 , 7 , 6 , 7 , 1 , 30 ,,,,,,,,,
BURMA, 1 , -   , -   , 8 , 6 , 2 , 7 , 3 , 27 ,,,,,,,,,
GUYANA, -   , 1 , 1 , 7 , 1 , 10 , 4 , 3 , 27 ,,,,,,,,,
NORTH MACEDONIA, 1 , 1 , -   , 3 , -   , 5 , 3 , 14 , 27 ,,,,,,,,,
CÔTE D'IVOIRE, -   , -   , 2 , 8 , 7 , 4 , 2 , 2 , 25 ,,,,,,,,,
QATAR, 1 , -   , 2 , 8 , 3 , 4 , 5 , 2 , 25 ,,,,,,,,,
AFGHANISTAN, 6 , 1 , 1 , 4 , 4 , 3 , 2 , 3 , 24 ,,,,,,,,,
BOSNIA AND HERZEGOVINA, -   , 1 , 2 , 6 , 3 , 2 , 7 , 3 , 24 ,,,,,,,,,
LATVIA, 4 , -   , 2 , 9 , 3 , 1 , 1 , 4 , 24 ,,,,,,,,,
NORWAY, 2 , 2 , 2 , 5 , 5 , 2 , 6 , -   , 24 ,,,,,,,,,
RWANDA, 2 , 1 , 1 , 5 , 6 , 7 , 2 , -   , 24 ,,,,,,,,,
SUDAN, 2 , -   , -   , 6 , 15 , 1 , -   , -   , 24 ,,,,,,,,,
DOMINICA, 3 , -   , -   , 4 , 1 , 8 , 6 , 1 , 23 ,,,,,,,,,
SAINT LUCIA, -   , -   , -   , 2 , 6 , 10 , 5 , -   , 23 ,,,,,,,,,
OMAN, 1 , -   , -   , 11 , 4 , -   , 6 , -   , 22 ,,,,,,,,,
SLOVENIA, 4 , -   , 4 , 4 , 2 , 2 , 3 , 1 , 20 ,,,,,,,,,
CONGO (KINSHASA), 2 , -   , 1 , 1 , 9 , 3 , 2 , 1 , 19 ,,,,,,,,,
CZECHOSLOVAKIA, 3 , 1 , -   , 7 , 1 , 1 , 4 , 1 , 18 ,,,,,,,,,
KOSOVO, 1 , -   , -   , 4 , 1 , 3 , 2 , 7 , 18 ,,,,,,,,,
SENEGAL, 3 , 1 , 4 , 2 , 6 , 1 , 1 , -   , 18 ,,,,,,,,,
MALAWI, 2 , -   , 2 , 1 , 2 , 6 , -   , 4 , 17 ,,,,,,,,,
BAHRAIN, 1 , 1 , -   , 9 , 1 , 1 , 3 , -   , 16 ,,,,,,,,,
BARBADOS, 3 , -   , -   , 5 , 4 , 3 , 1 , -   , 16 ,,,,,,,,,
YEMEN, 2 , 1 , 1 , 2 , 6 , 2 , 2 , -   , 16 ,,,,,,,,,
PARAGUAY, 3 , -   , -   , 1 , 3 , 2 , 4 , 2 , 15 ,,,,,,,,,
CONGO (BRAZZAVILLE), 1 , -   , 1 , -   , 3 , 5 , 2 , 1 , 13 ,,,,,,,,,
CYPRUS, 2 , 1 , -   , 3 , -   , 2 , 5 , -   , 13 ,,,,,,,,,
BELIZE, -   , -   , -   , 3 , 1 , 3 , 2 , 3 , 12 ,,,,,,,,,
"GAMBIA, THE", -   , -   , -   , 1 , 2 , 5 , 2 , 2 , 12 ,,,,,,,,,
SIERRA LEONE, -   , -   , -   , 2 , 7 , 1 , 2 , -   , 12 ,,,,,,,,,
ESTONIA, 1 , 2 , -   , 3 , 1 , 2 , 2 , -   , 11 ,,,,,,,,,
MONTENEGRO, 2 , 1 , 1 , 1 , 2 , -   , 2 , 2 , 11 ,,,,,,,,,
BURKINA FASO, -   , -   , -   , -   , 3 , 2 , 3 , 2 , 10 ,,,,,,,,,
GRENADA, 1 , -   , -   , 2 , -   , 5 , 2 , -   , 10 ,,,,,,,,,
MAURITIUS, -   , -   , 3 , 3 , 2 , -   , 1 , 1 , 10 ,,,,,,,,,
ANGOLA, 1 , -   , 2 , -   , 4 , 1 , 1 , -   , 9 ,,,,,,,,,
BENIN, 1 , 1 , 1 , 1 , 2 , 1 , -   , 2 , 9 ,,,,,,,,,
BOTSWANA, -   , -   , -   , 3 , 3 , 1 , -   , 1 , 8 ,,,,,,,,,
GABON, -   , -   , 2 , 1 , 1 , 2 , 2 , -   , 8 ,,,,,,,,,
ICELAND, -   , 1 , 1 , 4 , -   , 1 , 1 , -   , 8 ,,,,,,,,,
NAMIBIA, 1 , -   , 2 , -   , 1 , 1 , -   , 3 , 8 ,,,,,,,,,
"PALESTINE, STATE OF", 1 , -   , -   , 3 , -   , 1 , 2 , 1 , 8 ,,,,,,,,,
LIBERIA, -   , -   , -   , 1 , 3 , 3 , -   , -   , 7 ,,,,,,,,,
ERITREA, 2 , -   , -   , 2 , 1 , 1 , -   , -   , 6 ,,,,,,,,,
TOGO, -   , 1 , -   , 2 , 2 , -   , 1 , -   , 6 ,,,,,,,,,
ANTIGUA AND BARBUDA, -   , -   , -   , -   , 1 , 3 , -   , 1 , 5 ,,,,,,,,,
ARUBA, 1 , -   , 1 , -   , -   , -   , 3 , -   , 5 ,,,,,,,,,
GUINEA, 1 , -   , -   , 2 , 2 , -   , -   , -   , 5 ,,,,,,,,,
MACAU, -   , -   , -   , 1 , 1 , -   , 3 , -   , 5 ,,,,,,,,,
MADAGASCAR, -   , -   , 1 , 1 , 1 , -   , 1 , 1 , 5 ,,,,,,,,,
MALI, 1 , -   , -   , 1 , 2 , 1 , -   , -   , 5 ,,,,,,,,,
MOZAMBIQUE, 1 , -   , 2 , 1 , 1 , -   , -   , -   , 5 ,,,,,,,,,
YUGOSLAVIA, 2 , -   , -   , 1 , 1 , 1 , -   , -   , 5 ,,,,,,,,,
BRUNEI, 1 , -   , -   , -   , -   , -   , 3 , -   , 4 ,,,,,,,,,
BURUNDI, 1 , -   , 1 , -   , 1 , -   , 1 , -   , 4 ,,,,,,,,,
LAOS, -   , -   , -   , 1 , -   , -   , 1 , 2 , 4 ,,,,,,,,,
LUXEMBOURG, 1 , -   , 1 , 1 , -   , 1 , -   , -   , 4 ,,,,,,,,,
SAINT VINCENT AND THE GRENADINES, -   , -   , -   , -   , -   , 2 , 2 , -   , 4 ,,,,,,,,,
SURINAME, 1 , -   , -   , 1 , -   , 1 , 1 , -   , 4 ,,,,,,,,,
BERMUDA, -   , -   , -   , 2 , -   , 1 , -   , -   , 3 ,,,,,,,,,
BHUTAN, -   , -   , -   , -   , -   , 2 , 1 , -   , 3 ,,,,,,,,,
CUBA, 1 , -   , -   , -   , 1 , -   , -   , 1 , 3 ,,,,,,,,,
ISLE OF MAN, 1 , -   , 1 , -   , -   , 1 , -   , -   , 3 ,,,,,,,,,
PAPUA NEW GUINEA, -   , -   , -   , -   , -   , 1 , -   , 2 , 3 ,,,,,,,,,
SOMALIA, -   , -   , -   , 2 , -   , 1 , -   , -   , 3 ,,,,,,,,,
TONGA, -   , -   , -   , -   , 1 , 1 , -   , 1 , 3 ,,,,,,,,,
CHAD, -   , -   , -   , 2 , -   , -   , -   , -   , 2 ,,,,,,,,,
ESWATINI, 1 , -   , -   , 1 , -   , -   , -   , -   , 2 ,,,,,,,,,
FIJI, -   , -   , -   , -   , 1 , 1 , -   , -   , 2 ,,,,,,,,,
LESOTHO, -   , -   , -   , -   , -   , 2 , -   , -   , 2 ,,,,,,,,,
MALTA, -   , -   , 1 , -   , 1 , -   , -   , -   , 2 ,,,,,,,,,
MONACO, -   , -   , 1 , -   , 1 , -   , -   , -   , 2 ,,,,,,,,,
TURKS AND CAICOS ISLANDS, -   , -   , -   , -   , 1 , 1 , -   , -   , 2 ,,,,,,,,,
CABO VERDE, -   , -   , -   , 1 , -   , -   , -   , -   , 1 ,,,,,,,,,
CAYMAN ISLANDS, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
CENTRAL AFRICAN REPUBLIC, -   , -   , -   , 1 , -   , -   , -   , -   , 1 ,,,,,,,,,
CURAÇAO, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
GUINEA-BISSAU, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
JERSEY, -   , -   , 1 , -   , -   , -   , -   , -   , 1 ,,,,,,,,,
"KOREA, NORTH", -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,,,,,,,,,
LIECHTENSTEIN, -   , -   , 1 , -   , -   , -   , -   , -   , 1 ,,,,,,,,,
MALDIVES, -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,,,,,,,,
MARTINIQUE, -   , -   , -   , -   , -   , -   , 1 , -   , 1 ,,,,,,,,,
MAURITANIA, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,,,,,,,,,
"MICRONESIA, FEDERATED STATES OF", -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,,,,,,,,,
PITCAIRN ISLANDS, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,,,,,,,,,
SINT MAARTEN, -   , -   , -   , -   , -   , -   , 1 , -   , 1 ,,,,,,,,,
"VIRGIN ISLANDS, BRITISH", -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,
"CLAIM3, queried 08/2022, TRK 10180",,,,,,,,,,,,,,,,,,
