Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,3rd Quarter,,,,,                Fiscal Year - To Date,,,
I-730,Refugee/Asylee Relative Petition,"2,841","2,895",215,"3,110","25,880",30.1,"7,756","5,614",517,"6,131","25,880"
I-817,Application for Family Unity Benefits,87,26,10,36,308,6.1,245,122,50,172,308
I-821,Application for Temporary Protected Status,"29,379","73,217",622,"73,839","251,614",9.9,"90,517","126,504","1,194","127,698","251,614"
I-821D,Consideration of Deferred Action for Childhood Arrivals ,"57,303","60,748",625,"61,373","106,947",0.5,"215,100","236,533","2,026","238,559","106,947"
I-870 12,Record of Determination/Credible Fear Worksheet ,"17,591","5,378","3,343","10,347","4,603", N/A ,"47,937","22,412","11,583","36,533","4,603"
I-881 13,App. for Susp. of Deport. or Spec. Rule Cancel. of Removal (Sect. 203 of Public Law 105-100 (NACARA)),63,24, D ,31,495, N/A ,157,113,12,137,495
I-899 14,Record of Determination/Reasonable Fear Worksheet ,"2,036",535,954,"1,779",166, N/A ,"4,792","1,295","2,210","4,325",166
I-914 15,Application for T Nonimmigrant Status,"1,254",881,158,"1,039","5,085",11.3,"3,482","2,210",503,"2,713","5,085"
I-918 16,Petition for U Nonimmigrant Status,"10,180","1,160","1,666","2,826","300,648",59.4,"34,458","17,008","4,447","21,455","300,648"
I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant,280,107,19,126,"1,705",17.2,760,429,97,526,"1,705"
Lawful Permanent Residence,,,,,,,,,,,,
I-485,Application to Register Permanent Residence or Adjust Status (Family),"83,798","62,395","9,851","72,246","387,183",9.8,"234,798","199,529","31,270","230,799","387,183"
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"47,366","57,356","2,814","60,170","244,570",9.3,"130,287","121,661","6,650","128,311","244,570"
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,914","25,932",613,"26,545","64,465",22.2,"16,478","38,276","1,436","39,712","64,465"
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,174","6,930",138,"7,068","21,850",13.5,"7,438","9,448",358,"9,806","21,850"
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"9,558","3,435",554,"3,989","16,236",4,"17,370","11,282","2,001","13,283","16,236"
I-485,Application to Register Permanent Residence or Adjust Status (Other),"10,885","5,656",678,"6,334","57,880",7.4,"33,737","18,439","2,337","20,776","57,880"
Citizenship and Nationality,,,,,,,,,,,,
N-300,Application to File Declaration of Intention, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   
N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA) ,"1,533",779,517,"1,296","4,465", N/A ,"4,352","2,361","1,548","3,909","4,465"
N-400 17,Application for Naturalization (Military),"2,432","2,531",203,"2,734","6,312",11,"7,096","7,899",611,"8,510","6,312"
N-400 17,Application for Naturalization,"196,952","245,528","26,371","271,899","666,473", N/A ,"575,170","661,591","79,071","740,662","666,473"
N-470,Application to Preserve Residence for Naturalization Purposes , -   , -   , -   , -   , D , N/A , -   , -   , -   , -   , D 
N-565,Application for Replacement Naturalization/Citizenship Document,"8,109","6,480",583,"7,063","35,929",10.7,"23,032","14,652","1,680","16,332","35,929"
N-600 18,Application for Certificate of Citizenship,"16,973","13,314","1,317","14,631","61,868",6.8,"48,659","36,566","3,616","40,182","61,868"
N-644,Application for Posthumous Citizenship, -   , -   , -   , -   , -   , N/A , -   , -   , -   , -   , -   
N-648,Medical Certification for Disability Exceptions,"17,634", N/A , N/A ,"17,469","3,403", N/A ,"45,054", N/A , N/A ,"44,482","3,403"
Other,,,,,,,,,,,,
I-90,Application to Replace Permanent Resident Card,"207,137","81,731","2,870","84,601","1,009,769",1.1,"657,884","263,238","7,675","270,913","1,009,769"
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,"1,159",718,331,"1,049","4,660",14.2,"3,266","1,690",702,"2,392","4,660"
I-131,Application for Travel Document,"18,487","11,327",921,"12,248","75,368",10.8,"54,569","30,178","2,926","33,104","75,368"
I-131,Application for Travel Document (Advance Parole),"128,338","68,243","53,215","121,458","418,538",6.6,"457,633","229,463","132,368","361,831","418,538"
I-131,Application for Travel Document (Parole-in-Place),"5,471","1,896",333,"2,229","5,488",4.5,"15,314","5,495","1,022","6,517","5,488"
I-131 19,Application for Travel Document (Humanitarian Parole) ,"4,592",936,"4,649","5,906","45,839", N/A ,"43,246","2,088","7,376","10,092","45,839"
I-193,Application for Waiver of Passport and/or Visa ,13, D , D ,11,394,74.1,27,44,18,62,394
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant ","22,326","12,288","2,078","14,366","82,981",8,"58,022","31,777","4,932","36,709","82,981"
I-539,Application To Extend/Change Nonimmigrant Status,"72,166","62,420","33,331","95,751","241,939",6.3,"198,584","181,427","91,563","272,990","241,939"
I-824,Application for Action on an Approved Application or Petition ,"4,569","3,349",708,"4,057","10,392",9.4,"10,156","6,855","1,533","8,388","10,392"
Waivers 20,Waivers,"21,757","5,822","2,268","8,090","258,112",8.2,"57,854","28,180","7,207","35,387","258,112"
I-290B,Notice of Appeal or Motion ,"6,436","3,050","2,822","5,872","18,655",11.9,"18,833","8,996","8,683","17,679","18,655"
Supplemental Processing,,,,,,,,,,,,
DS-230 (IV) 21,Immigrant Visas,"112,286", N/A , N/A ,"129,363","62,908", N/A ,"319,652", N/A , N/A ,"320,252","62,908"
EOIR Adjustment 21,EOIR Adjustment,"4,864", N/A , N/A ,"4,864","23,989", N/A ,"16,371", N/A , N/A ,"16,371","23,989"
Table Key:,,,,,,,,,,,,
N/A  Not available,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,
2 The number of applications or petitions approved during the reporting period.,,,,,,,,,,,,
3 The number of applications or petitions that were denied during the reporting period. Outcomes included in this count will vary by benefit type as not all benefit types have all of these outcomes in every reporting period.  ,,,,,,,,,,,,
"4 Total Completions on the 'Total - All Forms' line are approvals plus denials with three exceptions: N-648 does not break down Approvals and Denials, only Completions; and I-589 and I-131 (Humanitarian Parole) include administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,
5 The number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
"6 Processing times are defined as the number of months it took for an application, petition, or request to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.",,,,,,,,,,,,
"7 Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,
"8 Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,
"9 I-924 approvals include regional center reaffirmations and I-924 denials include regional center terminations. Statutory authorization related to the EB-5 Immigrant Investor Regional Center Program on June 30, 2021. Therefore, USCIS has suspended calculations of processing times for form I-924.",,,,,,,,,,,,
"10Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant ",,,,,,,,,,,,
not eligible on the merits of the claim and referred the applicant to an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.,,,,,,,,,,,,
"11 Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,
"12 Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
13    NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. ,,,,,,,,,,,,
"Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"14 Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"15 Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,
"16 Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from initial filing to Bona Fide Determination (BFD) Review.",,,,,,,,,,,,
17 Processing Times shown are for all N-400 Applications for Naturalization.,,,,,,,,,,,,
"18 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,
19 This report reflects data for requests filed for individuals outside of the United States requesting parole into the United States based on urgent humanitarian or significant public benefit reasons and individuals inside the United States requesting re-parole.,,,,,,,,,,,,
"20 Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,
"21 Immigrant Visa and EOIR Adjustment are not included in the ""Total - All Forms"" line. ",,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
"3) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,,,,,
"4) Completed are the number of applications or petitions approved or denied. Some benefit types include other outcomes, such as administrative closures, in the total number of completed cases. As such, approvals and denials will not sum to the total number of completions for all benefit types.",,,,,,,,,,,,
5) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,,,
6) Summing the six I-485 types and the four I-765 types results in the overall totals for each form for the reporting period. ,,,,,,,,,,,,
"7) Credible Fear and Reasonable Fear screenings (and their respective forms I-870 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication. ",,,,,,,,,,,,
   Asylum Officers do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,
"8) For the I-131 (humanitarian parole), approvals are defined as conditional approval of the request for parole contingent upon successful completion of identity verification and any additional medical and security checks as required. ",,,,,,,,,,,,
"    A request for humanitarian parole may be counted as closed for a number of reasons, including if the beneficiary withdraws the request or if USCIS has notified the petitioner that the case is eligible for further parole processing and is awaiting notification from the petitioner that the parole ",,,,,,,,,,,,
    beneficiary is in a location with a U.S. embassy or consulate.,,,,,,,,,,,,
9) The majority of the I-730 completions are captured in CLAIMS3 and included in this data. The I-730 processing times are based on completions made at the Texas and Nebraska Service Centers only.,,,,,,,,,,,,
"10) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,
,,,,,,,,,,,,
Source:,,,,,,,,,,,,
"All data except I-589, I-870, I-899 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"I-589, I-870, I-899, I-881, I-131 (Humanitarian Parole) data were provided by the Refugee, Asylum and International Operations (RAIO) Directorate",,,,,,,,,,,,
"PRT, ELIS, CLAIMS3, queried 8/2022, TRK 10073",,,,,,,,,,,,
